,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
17034,Miscellaneous Crimes Against Society,E01002444,Hillingdon,3093.6,1990.0,1.55
19114,Miscellaneous Crimes Against Society,E01033581,Newham,233.0,255.5,0.91
17268,Miscellaneous Crimes Against Society,E01002712,Islington,223.7,265.9,0.84
19236,Miscellaneous Crimes Against Society,E01034039,Hounslow,202.2,237.1,0.85
18990,Miscellaneous Crimes Against Society,E01004734,Westminster,179.3,123.5,1.45
19460,Miscellaneous Crimes Against Society,E01035716,Westminster,178.8,103.8,1.72
16393,Miscellaneous Crimes Against Society,E01001687,Greenwich,162.9,161.9,1.01
16601,Miscellaneous Crimes Against Society,E01001943,Hammersmith and Fulham,128.0,106.2,1.21
19305,Miscellaneous Crimes Against Society,E01034220,Newham,116.9,132.1,0.88
18992,Miscellaneous Crimes Against Society,E01004736,Westminster,109.1,86.8,1.26
16546,Miscellaneous Crimes Against Society,E01001876,Hammersmith and Fulham,103.5,83.5,1.24
17366,Miscellaneous Crimes Against Society,E01002819,Kensington and Chelsea,102.6,114.7,0.89
19013,Miscellaneous Crimes Against Society,E01004763,Westminster,97.6,81.0,1.2
17562,Miscellaneous Crimes Against Society,E01003047,Lambeth,82.8,80.1,1.03
18975,Miscellaneous Crimes Against Society,E01004714,Westminster,82.2,82.5,1.0
15662,Miscellaneous Crimes Against Society,E01000863,Camden,79.1,77.9,1.02
17537,Miscellaneous Crimes Against Society,E01003021,Lambeth,77.6,87.0,0.89
19011,Miscellaneous Crimes Against Society,E01004761,Westminster,71.5,79.2,0.9
17157,Miscellaneous Crimes Against Society,E01002589,Hounslow,71.4,90.0,0.79
15708,Miscellaneous Crimes Against Society,E01000914,Camden,71.3,104.1,0.68
18902,Miscellaneous Crimes Against Society,E01004622,Wandsworth,71.2,91.1,0.78
19318,Miscellaneous Crimes Against Society,E01034386,Bromley,70.2,77.1,0.91
16095,Miscellaneous Crimes Against Society,E01001343,Ealing,67.8,82.7,0.82
19253,Miscellaneous Crimes Against Society,E01034150,Croydon,67.3,81.6,0.82
19187,Miscellaneous Crimes Against Society,E01033884,Southwark,66.8,80.4,0.83
19155,Miscellaneous Crimes Against Society,E01033741,Greenwich,63.5,55.1,1.15
18793,Miscellaneous Crimes Against Society,E01004493,Wandsworth,62.6,93.6,0.67
16285,Miscellaneous Crimes Against Society,E01001554,Enfield,62.5,137.8,0.45
16319,Miscellaneous Crimes Against Society,E01001592,Greenwich,61.8,68.8,0.9
19259,Miscellaneous Crimes Against Society,E01034156,Sutton,61.3,74.1,0.83
17164,Miscellaneous Crimes Against Society,E01002596,Hounslow,61.1,77.0,0.79
19286,Miscellaneous Crimes Against Society,E01034200,Newham,59.5,69.2,0.86
19249,Miscellaneous Crimes Against Society,E01034145,Croydon,58.8,70.1,0.84
17491,Miscellaneous Crimes Against Society,E01002968,Kingston upon Thames,54.9,45.7,1.2
16599,Miscellaneous Crimes Against Society,E01001941,Hammersmith and Fulham,54.4,67.3,0.81
17167,Miscellaneous Crimes Against Society,E01002601,Hounslow,52.5,111.8,0.47
19405,Miscellaneous Crimes Against Society,E01035652,Islington,51.4,62.5,0.82
19228,Miscellaneous Crimes Against Society,E01034030,Ealing,51.3,58.9,0.87
19331,Miscellaneous Crimes Against Society,E01034473,Barking and Dagenham,50.9,63.0,0.81
17365,Miscellaneous Crimes Against Society,E01002818,Kensington and Chelsea,50.8,63.8,0.8
19149,Miscellaneous Crimes Against Society,E01033735,Greenwich,49.1,75.6,0.65
19014,Miscellaneous Crimes Against Society,E01004765,Westminster,48.7,59.1,0.82
15242,Miscellaneous Crimes Against Society,E01000372,Bexley,48.6,301.3,0.16
15045,Miscellaneous Crimes Against Society,E01000143,Barnet,47.8,310.9,0.15
18991,Miscellaneous Crimes Against Society,E01004735,Westminster,45.8,53.5,0.86
18299,Miscellaneous Crimes Against Society,E01003876,Richmond upon Thames,44.8,55.1,0.81
16565,Miscellaneous Crimes Against Society,E01001898,Hammersmith and Fulham,44.0,48.9,0.9
15713,Miscellaneous Crimes Against Society,E01000919,Camden,43.9,54.1,0.81
15654,Miscellaneous Crimes Against Society,E01000855,Camden,41.2,57.4,0.72
19044,Miscellaneous Crimes Against Society,E01032741,Havering,41.2,70.0,0.59
15501,Miscellaneous Crimes Against Society,E01000676,Bromley,40.5,47.6,0.85
19215,Miscellaneous Crimes Against Society,E01033938,Brent,40.5,57.9,0.7
19053,Miscellaneous Crimes Against Society,E01032771,Tower Hamlets,40.1,51.5,0.78
18933,Miscellaneous Crimes Against Society,E01004658,Westminster,39.9,48.7,0.82
16566,Miscellaneous Crimes Against Society,E01001899,Hammersmith and Fulham,39.6,49.5,0.8
17701,Miscellaneous Crimes Against Society,E01003199,Lewisham,39.5,107.0,0.37
16674,Miscellaneous Crimes Against Society,E01002026,Haringey,39.0,48.5,0.8
17252,Miscellaneous Crimes Against Society,E01002695,Islington,38.9,55.7,0.7
19132,Miscellaneous Crimes Against Society,E01033699,Hackney,38.8,57.8,0.67
17530,Miscellaneous Crimes Against Society,E01003013,Lambeth,37.4,48.1,0.78
18139,Miscellaneous Crimes Against Society,E01003689,Redbridge,37.2,47.1,0.79
18845,Miscellaneous Crimes Against Society,E01004551,Wandsworth,36.4,48.0,0.76
18821,Miscellaneous Crimes Against Society,E01004525,Wandsworth,35.9,51.3,0.7
19139,Miscellaneous Crimes Against Society,E01033708,Hackney,35.9,43.8,0.82
18597,Miscellaneous Crimes Against Society,E01004259,Tower Hamlets,35.9,48.4,0.74
19094,Miscellaneous Crimes Against Society,E01033327,Lewisham,35.8,41.3,0.87
18889,Miscellaneous Crimes Against Society,E01004609,Wandsworth,35.7,59.8,0.6
