,Major Category,LSOA,Borough,Mean,Standard Deviation,Normalised Deviation
35595,Theft,E01002968,Kingston upon Thames,996.1,221.9,4.49
37342,Theft,E01033083,Hounslow,682.4,160.8,4.24
37563,Theft,E01034200,Newham,985.2,242.7,4.06
37502,Theft,E01034030,Ealing,815.9,203.1,4.02
37612,Theft,E01034473,Barking and Dagenham,590.1,148.4,3.98
45571,Violence Against the Person,E01002968,Kingston upon Thames,658.4,165.7,3.97
36470,Theft,E01003876,Richmond upon Thames,522.6,134.0,3.9
34616,Theft,E01001943,Hammersmith and Fulham,1238.6,326.2,3.8
34574,Theft,E01001899,Hammersmith and Fulham,496.7,134.2,3.7
36935,Theft,E01004397,Waltham Forest,399.0,109.0,3.66
34698,Theft,E01002026,Haringey,901.6,252.1,3.58
37536,Theft,E01034156,Sutton,735.4,206.1,3.57
36640,Theft,E01004067,Southwark,343.0,96.4,3.56
37693,Theft,E01035652,Islington,602.7,172.0,3.5
36604,Theft,E01004031,Southwark,275.7,79.2,3.48
37059,Theft,E01004525,Wandsworth,465.6,134.4,3.46
35933,Theft,E01003318,Lewisham,223.2,64.5,3.46
47228,Violence Against the Person,E01004734,Westminster,2333.2,676.1,3.45
35518,Theft,E01002889,Kensington and Chelsea,355.8,104.5,3.4
34703,Theft,E01002031,Haringey,271.0,79.7,3.4
36930,Theft,E01004392,Waltham Forest,254.7,75.5,3.37
35102,Theft,E01002444,Hillingdon,1280.6,383.0,3.34
35673,Theft,E01003047,Lambeth,716.1,215.2,3.33
37606,Theft,E01034394,Lewisham,352.1,106.4,3.31
37009,Theft,E01004474,Wandsworth,239.1,72.4,3.3
37308,Theft,E01032741,Havering,789.1,241.6,3.27
34573,Theft,E01001898,Hammersmith and Fulham,372.1,114.2,3.26
36287,Theft,E01003689,Redbridge,599.7,184.4,3.25
33121,Theft,E01000362,Bexley,253.3,78.3,3.23
36827,Theft,E01004277,Tower Hamlets,357.7,111.2,3.22
37138,Theft,E01004609,Wandsworth,332.5,103.8,3.2
35639,Theft,E01003013,Lambeth,594.2,187.3,3.17
34147,Theft,E01001429,Enfield,302.5,95.5,3.17
33648,Theft,E01000914,Camden,1336.7,424.5,3.15
33277,Theft,E01000524,Brent,143.2,45.5,3.15
37277,Theft,E01004765,Westminster,1308.4,417.0,3.14
4474,Arson and Criminal Damage,E01004734,Westminster,405.6,129.4,3.13
47506,Violence Against the Person,E01034150,Croydon,1011.3,324.5,3.12
35017,Theft,E01002356,Havering,368.7,118.5,3.11
37399,Theft,E01033699,Hackney,623.4,200.8,3.1
37568,Theft,E01034205,Newham,446.4,144.7,3.09
35334,Theft,E01002696,Islington,522.4,168.8,3.09
47733,Violence Against the Person,E01035716,Westminster,1226.2,397.3,3.09
35174,Theft,E01002521,Hillingdon,304.8,99.4,3.07
34420,Theft,E01001731,Hackney,142.7,46.5,3.07
36968,Theft,E01004430,Waltham Forest,198.7,64.8,3.07
34797,Theft,E01002129,Harrow,415.5,135.7,3.06
37360,Theft,E01033327,Lewisham,402.0,131.4,3.06
36852,Theft,E01004309,Tower Hamlets,187.5,61.4,3.05
33980,Theft,E01001261,Ealing,138.9,45.5,3.05
37752,Theft,E01035711,Camden,878.0,287.6,3.05
36515,Theft,E01003921,Southwark,205.0,67.3,3.05
37523,Theft,E01034143,Croydon,545.4,180.6,3.02
